SubTime	NumProcs	ExeTime
466648	64	257
466949	128	365
467121	256	11713
467297	128	157
467400	32	59
467770	32	50
468098	32	49
468185	128	126
468924	32	14
469032	32	52
469556	32	315
469643	32	580
470039	64	322
470085	64	16459
470350	128	109
470460	128	857
470505	64	149
470709	512	217
470743	512	188
470819	512	3248
470856	64	137
471350	32	752
472116	128	12
472174	128	4542
472180	32	900
472188	128	14
472237	128	27
472271	128	764
472658	512	483
473149	32	344
473894	128	133
474401	64	6954
474513	32	442
474693	512	11503
475057	512	422
475061	128	127
475240	128	12
475702	64	74
475833	64	145
476294	128	156
476488	64	227
476655	128	159
476910	128	297
477221	128	686
477240	32	170
477596	128	37
477603	64	145
478035	64	168
478140	128	28
478325	128	6
478338	128	22
478539	128	22
478642	128	384
478838	32	757
478899	64	645
478979	32	111
479219	512	503
479326	256	11708
479831	32	1333
479840	32	3564
480039	32	7939
480301	128	592
481203	128	528
481274	32	18
481414	32	83
481745	128	1281
482363	128	249
482403	128	43
482508	32	960
482965	32	460
483397	32	15
483421	32	11
483485	64	6146
483517	128	108
484377	32	2024
484509	32	1403
484714	128	114
484816	32	434
485088	32	102
485126	128	52
485207	64	272
485452	128	64
485504	32	86
485682	32	99
485770	128	31
485836	32	78
485914	128	1218
485958	32	94
486052	32	88
486266	512	4043
486374	64	230
486388	32	76
486505	32	562
486513	32	4053
486533	512	654
486540	32	48
486736	64	453
486893	32	51
487114	128	771
487508	128	53
487517	64	282
487557	32	51
487650	128	84
487741	32	46
487832	64	4776
487984	64	349
487995	32	46
488017	32	4330
488221	128	3632
488369	32	90
489161	128	153
489283	32	51
489391	128	22441
489408	32	1012
489697	128	141
489783	32	165
490437	64	167
490716	32	17
491186	32	18
491263	32	14
491618	32	22
491626	512	117
491636	128	1666
491963	32	581
492314	512	74
492626	256	23269
492667	128	5294
492736	128	81
493034	128	4930
493050	512	5775
493234	64	1692
494855	32	550
495249	64	1444
495876	128	1198
496584	128	180
497317	128	408
497777	64	4091
497948	128	4083
504080	128	2070
504758	512	22497
511776	32	494
512287	128	14326
518685	512	13709
544930	128	3125
547088	256	11739
547991	128	3044
550272	32	244
550702	32	822
550970	128	3022
553928	128	3127
554036	512	11917
556991	128	3048
559315	64	4056
559976	128	3022
561664	256	198
561876	256	281
562288	512	30
562935	128	3122
563151	32	913
565459	64	4093
565666	32	736
565994	128	3015
567007	32	733
567146	512	108
567688	512	110
568324	512	293
568946	128	3028
570702	32	81
570962	32	76
571147	32	75
571482	32	49
571687	32	48
571877	64	215
571910	128	5197
572021	32	49
572475	32	80
572802	128	6519
572856	256	21149
573191	32	79
573428	32	78
577043	128	4182
577477	64	2319
577665	32	81
578111	512	8593
580119	64	4068
581160	128	3021
584122	128	6121
584482	64	335
585212	64	3634
589387	64	1372
590792	64	3440
593532	32	412
593974	256	37
594160	256	13768
594373	32	25
594408	32	303
594554	128	6626
594840	64	1252
594853	32	312
595311	32	479
598205	64	1401
598441	32	592
598452	128	14329
599154	32	426
601593	64	301
602684	64	2015
606755	64	2335
610276	64	701
611533	64	2025
612783	128	14350
613696	64	3008
633384	128	3318
634699	256	11773
636638	128	5393
638207	128	9204
638427	64	314
638621	64	58
638824	128	9484
639625	64	444
641967	128	7617
642771	32	466
644790	32	995
646041	32	1434
648217	256	11690
648315	128	6721
649518	128	5801
651130	512	267
654874	512	70
655042	128	8658
655054	128	60
655195	512	296
655280	128	7297
656215	32	73
656921	128	2505
657302	32	136
658302	32	190
658581	32	156
658765	32	172
658983	32	82
659097	32	136
659283	32	95
660398	512	230
660471	512	161
660502	128	11918
661424	32	472
661928	32	231
662253	32	343
662513	128	8786
662662	32	230
662990	32	408
663480	32	189
663706	128	8954
663790	32	75
663877	32	458
666044	256	3423
667903	64	4052
671241	128	8775
671690	512	308
672084	64	4089
672307	512	365
672422	128	11326
672670	128	10101
673015	512	284
674877	512	297
676448	512	279
677461	512	274
677948	64	7688
678640	512	270
679603	64	2683
680488	512	275
682751	64	3684
686955	128	14362
687478	64	2098
690112	64	128
694543	64	2024
697074	64	139
701319	128	14382
716187	32	28
716645	32	233
716992	32	859
717389	32	1560
717548	64	367
718007	512	3180
718545	128	24822
718834	64	3777
718991	32	3989
718998	32	43
719037	64	29
719114	32	49
720945	32	46
721232	256	12475
721733	512	12387
722491	128	8092
723004	64	4283
723186	32	457
723575	64	529
723870	128	9579
724162	32	324
724934	512	503
725324	128	3149
725538	32	4152
726127	32	3671
726152	32	63
726254	64	77
726347	128	308
726673	32	46
727388	32	213
727550	64	4135
728142	32	160
729457	128	9472
729832	32	345
730514	128	9681
730838	32	415
731112	32	825
731492	64	208
731721	32	153
731993	64	1476
732828	32	126
732895	128	12787
733137	32	603
733456	128	11499
734178	512	7144
734357	512	12011
735265	64	3878
735501	32	378
735824	64	2037
736333	32	88
736455	32	87
736670	32	60
736832	32	54
737041	32	77
737116	32	991
737131	64	78
737340	32	812
737469	128	288
737483	512	2700
737568	32	730
737680	32	503
737987	32	457
738144	128	400
738178	32	480
738347	32	908
738365	32	3850
738530	128	1042
738685	32	570
738740	32	879
738794	32	180
738871	128	606
739274	32	527
739306	128	3968
739321	128	235
739384	32	236
740138	128	8441
740238	64	1266
740347	32	77
740452	64	198
740798	64	3996
740819	32	81
741041	32	72
741330	32	702
741349	128	9116
741426	32	49
741500	64	3227
741911	256	11781
742131	128	2353
742408	128	262
743148	32	1463
743417	32	357
744662	32	285
744875	64	3212
744962	128	9700
745248	32	42
745350	32	227
745772	32	43
745797	32	303
745889	32	84
746262	32	648
747194	32	141
747561	32	231
747571	32	190
747899	32	66
748050	32	3937
748063	32	118
748234	32	37
748344	32	24
748490	64	3280
748615	32	305
748643	32	73
748788	128	8830
748845	32	955
748889	32	62
749140	32	136
749308	64	1736
749562	32	115
749580	32	57
749626	128	3609
749796	32	69
